Species.ID,Length,Data.Type,Year,FisheryDependent,Length Type,Sex,Special,MPA
Chlorurus_sordidus,26.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,26.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,24.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.9,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,18.8,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.2,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.2,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,24,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,13.73,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,14.64,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.9,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,19,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,24.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,19.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,27,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,27.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,18.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,19,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,26.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,24.9,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.4,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.9,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,18.9,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,23.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,22,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,21.2,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,24.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,29.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,20.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,26.3,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,27.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,24.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,29.1,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,25.7,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,27.6,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,30.5,Fishery,2015,1,0,0,0,0
Chlorurus_sordidus,17.2,Fishery,2015,1,0,0,0,0
Naso_lituratus,20.8,Fishery,2014,1,0,0,0,0
Naso_lituratus,21.2,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,19.9,Fishery,2014,1,0,0,0,0
Naso_lituratus,19.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,19.8,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.5,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,28.7,Fishery,2014,1,0,0,0,0
Naso_lituratus,18.8,Fishery,2014,1,0,0,0,0
Naso_lituratus,6.6,Fishery,2014,1,0,0,0,0
Naso_lituratus,19.9,Fishery,2014,1,0,0,0,0
Naso_lituratus,19.9,Fishery,2014,1,0,0,0,0
Naso_lituratus,19.9,Fishery,2014,1,0,0,0,0
Naso_lituratus,21.2,Fishery,2014,1,0,0,0,0
Naso_lituratus,17.1,Fishery,2014,1,0,0,0,0
Naso_lituratus,21.9,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.7,Fishery,2014,1,0,0,0,0
Naso_lituratus,21,Fishery,2014,1,0,0,0,0
Naso_lituratus,21.3,Fishery,2014,1,0,0,0,0
Naso_lituratus,20.5,Fishery,2014,1,0,0,0,0
Naso_lituratus,22.3,Fishery,2014,1,0,0,0,0
Naso_lituratus,18.7,Fishery,2014,1,0,0,0,0
